epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5317220687866211,9.999999747378752e-05,0.6992764472961426,0.5272727012634277,0.6876643300056458
1,0.5951661467552185,9.999999747378752e-05,0.655819833278656,0.5333333611488342,0.6746795177459717
2,0.6661631464958191,9.999999747378752e-05,0.5951563119888306,0.581818163394928,0.6689846515655518
3,0.7424471378326416,9.999999747378752e-05,0.5286853313446045,0.6363636255264282,0.6498239040374756
4,0.7817220687866211,9.999999747378752e-05,0.4813779294490814,0.6636363863945007,0.659511148929596
5,0.7885196208953857,9.999999747378752e-05,0.4620647132396698,0.6696969866752625,0.6527675986289978
6,0.7854984998703003,9.999999747378752e-05,0.4531700015068054,0.6212121248245239,0.6959679126739502
7,0.8089123964309692,4.999999873689376e-05,0.4549020826816559,0.6878787875175476,0.6193084716796875
8,0.8338368535041809,4.999999873689376e-05,0.4298801124095917,0.6424242258071899,0.6659392714500427
9,0.8232628107070923,4.999999873689376e-05,0.4054359495639801,0.678787887096405,0.6534134149551392
10,0.8444108963012695,4.999999873689376e-05,0.4022597670555115,0.6757575869560242,0.6567248702049255
11,0.8391238451004028,2.499999936844688e-05,0.39841896295547485,0.6969696879386902,0.6367784142494202
12,0.8406344652175903,2.499999936844688e-05,0.38339272141456604,0.6757575869560242,0.6434084177017212
13,0.8361027240753174,2.499999936844688e-05,0.38955429196357727,0.6454545259475708,0.6708570122718811
14,0.8345921635627747,1.249999968422344e-05,0.389178603887558,0.678787887096405,0.6255599856376648
15,0.8421450257301331,1.249999968422344e-05,0.3779798150062561,0.678787887096405,0.6427415013313293
16,0.8376132845878601,1.249999968422344e-05,0.38616588711738586,0.6666666865348816,0.6664745807647705
17,0.842900276184082,6.24999984211172e-06,0.402617484331131,0.6515151262283325,0.6569996476173401
18,0.8444108963012695,6.24999984211172e-06,0.4014991223812103,0.6878787875175476,0.6159221529960632
19,0.8406344652175903,6.24999984211172e-06,0.3913503587245941,0.6696969866752625,0.6519651412963867
20,0.842900276184082,6.24999984211172e-06,0.39290764927864075,0.6818181872367859,0.6491889953613281
21,0.842900276184082,6.24999984211172e-06,0.3875184655189514,0.6939393877983093,0.6418139934539795
22,0.8421450257301331,3.12499992105586e-06,0.38557010889053345,0.6909090876579285,0.6649004220962524
23,0.8496978878974915,3.12499992105586e-06,0.36769527196884155,0.7090908885002136,0.6257091760635376
24,0.8315709829330444,3.12499992105586e-06,0.4017689824104309,0.6848484873771667,0.6246858835220337
25,0.8391238451004028,1.56249996052793e-06,0.3909164369106293,0.6545454263687134,0.6463266015052795
26,0.8481873273849487,1.56249996052793e-06,0.38007745146751404,0.6818181872367859,0.62549889087677
27,0.8519637584686279,1.56249996052793e-06,0.3867914080619812,0.678787887096405,0.6396479606628418
28,0.847432017326355,7.81249980263965e-07,0.3732457458972931,0.6696969866752625,0.6429110169410706
29,0.8496978878974915,7.81249980263965e-07,0.39098235964775085,0.6757575869560242,0.6400648355484009
30,0.8368580341339111,7.81249980263965e-07,0.39546382427215576,0.6666666865348816,0.643447756767273
31,0.8451661467552185,3.906249901319825e-07,0.3790324032306671,0.6878787875175476,0.6325616836547852
32,0.8489425778388977,3.906249901319825e-07,0.37972694635391235,0.6878787875175476,0.6330499649047852
33,0.8398791551589966,3.906249901319825e-07,0.3855934739112854,0.6606060862541199,0.6452465653419495
34,0.8459214568138123,1.9531249506599124e-07,0.3759365677833557,0.6757575869560242,0.6232821345329285
35,0.8504531979560852,1.9531249506599124e-07,0.3798697292804718,0.6757575869560242,0.6514604687690735
36,0.8496978878974915,1.9531249506599124e-07,0.38109278678894043,0.6696969866752625,0.6517922878265381
37,0.8527190089225769,9.765624753299562e-08,0.3771417737007141,0.6666666865348816,0.6570357084274292
38,0.8459214568138123,9.765624753299562e-08,0.3760364055633545,0.6696969866752625,0.657673716545105
39,0.8489425778388977,9.765624753299562e-08,0.38422611355781555,0.678787887096405,0.6418237686157227
40,0.8413897156715393,4.882812376649781e-08,0.36530888080596924,0.6878787875175476,0.629268229007721
41,0.842900276184082,4.882812376649781e-08,0.3818356692790985,0.678787887096405,0.6329150199890137
42,0.8451661467552185,4.882812376649781e-08,0.3874276578426361,0.6696969866752625,0.6441279649734497
43,0.8436555862426758,2.4414061883248905e-08,0.37816858291625977,0.6666666865348816,0.6396281123161316
44,0.8481873273849487,2.4414061883248905e-08,0.38227617740631104,0.6818181872367859,0.6430292129516602
45,0.8459214568138123,2.4414061883248905e-08,0.38157233595848083,0.6909090876579285,0.642301082611084
46,0.8459214568138123,1.2207030941624453e-08,0.3823888301849365,0.6757575869560242,0.66010582447052
47,0.8519637584686279,1.2207030941624453e-08,0.3765459656715393,0.6848484873771667,0.6420643329620361
48,0.8444108963012695,1.2207030941624453e-08,0.3926149606704712,0.6939393877983093,0.6340231895446777
49,0.8451661467552185,6.103515470812226e-09,0.3871193528175354,0.6666666865348816,0.6468935012817383
