epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5166162848472595,9.999999747378752e-05,0.6890943050384521,0.49696969985961914,0.6936115622520447
1,0.5445619225502014,9.999999747378752e-05,0.6788769960403442,0.48787879943847656,0.693418025970459
2,0.5709969997406006,9.999999747378752e-05,0.6633158922195435,0.5090909004211426,0.701047956943512
3,0.6095166206359863,9.999999747378752e-05,0.6481016278266907,0.5242424011230469,0.6957436203956604
4,0.6465256810188293,9.999999747378752e-05,0.6285305619239807,0.6030303239822388,0.6709383130073547
5,0.6555891036987305,9.999999747378752e-05,0.6080832481384277,0.5787878632545471,0.6832519173622131
6,0.6774924397468567,9.999999747378752e-05,0.5901453495025635,0.6393939256668091,0.6429194808006287
7,0.7243202328681946,9.999999747378752e-05,0.5587888360023499,0.657575786113739,0.6417569518089294
8,0.7424471378326416,9.999999747378752e-05,0.5329669117927551,0.6484848260879517,0.6314935684204102
9,0.7530211210250854,9.999999747378752e-05,0.5068572163581848,0.6636363863945007,0.6423143148422241
10,0.7817220687866211,9.999999747378752e-05,0.4728509783744812,0.678787887096405,0.6541081666946411
11,0.7771903276443481,9.999999747378752e-05,0.47218388319015503,0.6515151262283325,0.6917076110839844
12,0.7990936636924744,4.999999873689376e-05,0.4584735035896301,0.678787887096405,0.6285156607627869
13,0.7938066720962524,4.999999873689376e-05,0.44303590059280396,0.6666666865348816,0.6573003530502319
14,0.805891215801239,4.999999873689376e-05,0.43482473492622375,0.6636363863945007,0.6571928858757019
15,0.8013595342636108,4.999999873689376e-05,0.44054216146469116,0.6515151262283325,0.6852384805679321
16,0.80513596534729,2.499999936844688e-05,0.422925740480423,0.6878787875175476,0.6230263113975525
17,0.8013595342636108,2.499999936844688e-05,0.4205710291862488,0.6878787875175476,0.6550214290618896
18,0.8179758191108704,2.499999936844688e-05,0.4144437909126282,0.6606060862541199,0.665280282497406
19,0.8028700947761536,2.499999936844688e-05,0.42047446966171265,0.6818181872367859,0.6832408308982849
20,0.8036254048347473,1.249999968422344e-05,0.42526623606681824,0.6818181872367859,0.655609667301178
21,0.8164652585983276,1.249999968422344e-05,0.42823758721351624,0.678787887096405,0.6704997420310974
22,0.8141993880271912,1.249999968422344e-05,0.4225941598415375,0.6636363863945007,0.6609309315681458
23,0.8141993880271912,6.24999984211172e-06,0.40696120262145996,0.6696969866752625,0.658202052116394
24,0.8308157324790955,6.24999984211172e-06,0.3944801390171051,0.657575786113739,0.6695142984390259
25,0.8308157324790955,6.24999984211172e-06,0.40458929538726807,0.6909090876579285,0.6425079107284546
26,0.8225075602531433,3.12499992105586e-06,0.40752270817756653,0.6606060862541199,0.6596062779426575
27,0.8187311291694641,3.12499992105586e-06,0.40385714173316956,0.6606060862541199,0.6753767728805542
28,0.8217522501945496,3.12499992105586e-06,0.4107663333415985,0.6757575869560242,0.638444185256958
29,0.8262839913368225,1.56249996052793e-06,0.3968837261199951,0.6515151262283325,0.6896205544471741
30,0.8262839913368225,1.56249996052793e-06,0.3939848840236664,0.6454545259475708,0.6861565709114075
31,0.8202416896820068,1.56249996052793e-06,0.3920734226703644,0.6757575869560242,0.652687132358551
32,0.8225075602531433,7.81249980263965e-07,0.40479275584220886,0.6484848260879517,0.6597050428390503
33,0.8300604224205017,7.81249980263965e-07,0.39311835169792175,0.678787887096405,0.6568658351898193
34,0.8157099485397339,7.81249980263965e-07,0.4045505225658417,0.6727272868156433,0.6682144403457642
35,0.8255286812782288,3.906249901319825e-07,0.40210241079330444,0.6545454263687134,0.6785712242126465
36,0.8361027240753174,3.906249901319825e-07,0.4006405770778656,0.678787887096405,0.6785508394241333
37,0.828549861907959,3.906249901319825e-07,0.3972906470298767,0.6848484873771667,0.6428531408309937
38,0.8232628107070923,1.9531249506599124e-07,0.40191078186035156,0.678787887096405,0.6537262201309204
39,0.8270393013954163,1.9531249506599124e-07,0.3928309679031372,0.657575786113739,0.6705211400985718
40,0.8202416896820068,1.9531249506599124e-07,0.39463484287261963,0.6666666865348816,0.6610056161880493
41,0.8111782670021057,9.765624753299562e-08,0.412803590297699,0.6878787875175476,0.6541335582733154
42,0.8323262929916382,9.765624753299562e-08,0.39104488492012024,0.6666666865348816,0.6562114953994751
43,0.8194863796234131,9.765624753299562e-08,0.3982146084308624,0.657575786113739,0.6601811051368713
44,0.8255286812782288,4.882812376649781e-08,0.3990074098110199,0.6606060862541199,0.6757784485816956
45,0.8247734308242798,4.882812376649781e-08,0.40378475189208984,0.657575786113739,0.6506377458572388
46,0.8247734308242798,4.882812376649781e-08,0.4025471806526184,0.6878787875175476,0.6589578986167908
47,0.8209969997406006,2.4414061883248905e-08,0.40181320905685425,0.6878787875175476,0.6543533802032471
48,0.8202416896820068,2.4414061883248905e-08,0.4022665321826935,0.6727272868156433,0.6567001938819885
49,0.8225075602531433,2.4414061883248905e-08,0.3978813588619232,0.6696969866752625,0.667197048664093
